진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018,ADHD, 서울 , 강남구 , 남 ,2143,17537,1069125590
2018,ADHD, 서울 , 강남구 , 여 ,807,5714,345628290
2018,ADHD, 서울 , 강동구 , 남 ,652,8691,400428070
2018,ADHD, 서울 , 강동구 , 여 ,209,2241,100177800
2018,ADHD, 서울 , 강서구 , 남 ,499,4396,201007460
2018,ADHD, 서울 , 강서구 , 여 ,127,1035,47867420
2018,ADHD, 서울 , 관악구 , 남 ,362,2717,242737230
2018,ADHD, 서울 , 관악구 , 여 ,102,646,55734850
2018,ADHD, 서울 , 구로구 , 남 ,641,6315,280914830
2018,ADHD, 서울 , 구로구 , 여 ,229,1750,92716910
2018,ADHD, 서울 , 도봉구 , 남 ,193,2049,132470530
2018,ADHD, 서울 , 도봉구 , 여 ,61,672,46554740
2018,ADHD, 서울 , 동대문구 , 남 ,511,5822,481797950
2018,ADHD, 서울 , 동대문구 , 여 ,189,1858,155441020
2018,ADHD, 서울 , 동작구 , 남 ,494,3897,282765710
2018,ADHD, 서울 , 동작구 , 여 ,161,1345,96611980
2018,ADHD, 서울 , 마포구 , 남 ,646,7129,401870530
2018,ADHD, 서울 , 마포구 , 여 ,213,2248,120781850
2018,ADHD, 서울 , 서대문구 , 남 ,461,1725,228966130
2018,ADHD, 서울 , 서대문구 , 여 ,99,316,41665570
2018,ADHD, 서울 , 성동구 , 남 ,273,1841,144720110
2018,ADHD, 서울 , 성동구 , 여 ,65,386,27146000
2018,ADHD, 서울 , 성북구 , 남 ,707,5830,255803040
2018,ADHD, 서울 , 성북구 , 여 ,204,1441,63205010
2018,ADHD, 서울 , 영등포구 , 남 ,221,1420,82843280
2018,ADHD, 서울 , 영등포구 , 여 ,76,366,21356090
2018,ADHD, 서울 , 용산구 , 남 ,133,656,48265580
2018,ADHD, 서울 , 용산구 , 여 ,50,338,37240790
2018,ADHD, 서울 , 은평구 , 남 ,380,2700,112219250
2018,ADHD, 서울 , 은평구 , 여 ,95,513,21936510
2018,ADHD, 서울 , 종로구 , 남 ,1538,9273,717826660
2018,ADHD, 서울 , 종로구 , 여 ,369,2105,162651360
2018,ADHD, 서울 , 중구 , 남 ,159,1254,93616890
2018,ADHD, 서울 , 중구 , 여 ,51,344,29402340
2018,ADHD, 서울 , 송파구 , 남 ,1190,12030,872136170
2018,ADHD, 서울 , 송파구 , 여 ,388,3526,248924210
2018,ADHD, 서울 , 중랑구 , 남 ,303,3524,205337510
2018,ADHD, 서울 , 중랑구 , 여 ,66,515,32397990
2018,ADHD, 서울 , 양천구 , 남 ,946,7481,384552100
2018,ADHD, 서울 , 양천구 , 여 ,221,1450,78335740
2018,ADHD, 서울 , 서초구 , 남 ,879,6214,410725590
2018,ADHD, 서울 , 서초구 , 여 ,290,2040,131608120
2018,ADHD, 서울 , 노원구 , 남 ,1221,10951,688053920
2018,ADHD, 서울 , 노원구 , 여 ,383,3104,198465720
2018,ADHD, 서울 , 광진구 , 남 ,717,5819,263515370
2018,ADHD, 서울 , 광진구 , 여 ,255,1944,92964180
2018,ADHD, 서울 , 강북구 , 남 ,49,299,14070060
2018,ADHD, 서울 , 강북구 , 여 ,24,160,6490070
2018,ADHD, 서울 , 금천구 , 남 ,29,181,13688440
2018,ADHD, 서울 , 금천구 , 여 ,15,70,4458560
2018,ADHD, 부산 , 부산남구 , 남 ,153,1144,96661100
2018,ADHD, 부산 , 부산남구 , 여 ,47,280,21325810
2018,ADHD, 부산 , 부산동구 , 남 ,75,585,28200500
2018,ADHD, 부산 , 부산동구 , 여 ,23,189,7788280
2018,ADHD, 부산 , 부산동래구 , 남 ,304,4565,175932160
2018,ADHD, 부산 , 부산동래구 , 여 ,84,1131,43409930
2018,ADHD, 부산 , 부산진구 , 남 ,2221,24995,1258554990
2018,ADHD, 부산 , 부산진구 , 여 ,574,6110,307859060
2018,ADHD, 부산 , 부산북구 , 남 ,100,793,40040650
2018,ADHD, 부산 , 부산북구 , 여 ,23,189,8530450
2018,ADHD, 부산 , 부산서구 , 남 ,204,1197,72419880
2018,ADHD, 부산 , 부산서구 , 여 ,52,322,24987930
2018,ADHD, 부산 , 부산영도구 , 남 ,0,0,0
2018,ADHD, 부산 , 부산영도구 , 여 ,0,0,0
2018,ADHD, 부산 , 부산중구 , 남 ,12,101,7855790
2018,ADHD, 부산 , 부산중구 , 여 ,0,0,0
2018,ADHD, 부산 , 부산해운대구 , 남 ,1273,11118,502836740
2018,ADHD, 부산 , 부산해운대구 , 여 ,348,2869,122411710
2018,ADHD, 부산 , 부산사하구 , 남 ,138,1062,48977200
2018,ADHD, 부산 , 부산사하구 , 여 ,38,239,13475730
2018,ADHD, 부산 , 부산금정구 , 남 ,28,178,8506080
2018,ADHD, 부산 , 부산금정구 , 여 ,0,0,0
2018,ADHD, 부산 , 부산강서구 , 남 ,0,0,0
2018,ADHD, 부산 , 부산강서구 , 여 ,0,0,0
2018,ADHD, 부산 , 부산연제구 , 남 ,416,4259,168321270
2018,ADHD, 부산 , 부산연제구 , 여 ,86,729,27621390
2018,ADHD, 부산 , 부산수영구 , 남 ,69,456,23490410
2018,ADHD, 부산 , 부산수영구 , 여 ,27,228,13702590
2018,ADHD, 부산 , 부산사상구 , 남 ,79,577,30577150
2018,ADHD, 부산 , 부산사상구 , 여 ,22,156,7570060
2018,ADHD, 부산 , 부산기장군 , 남 ,131,1358,94951150
2018,ADHD, 부산 , 부산기장군 , 여 ,44,345,24229930
2018,ADHD, 인천 , 인천미추홀구 , 남 ,92,811,49156110
2018,ADHD, 인천 , 인천미추홀구 , 여 ,11,64,3791710
2018,ADHD, 인천 , 인천동구 , 남 ,17,77,6584970
2018,ADHD, 인천 , 인천동구 , 여 ,0,0,0
2018,ADHD, 인천 , 인천부평구 , 남 ,236,1386,94775780
2018,ADHD, 인천 , 인천부평구 , 여 ,51,313,19024580
2018,ADHD, 인천 , 인천중구 , 남 ,255,1623,139659750
2018,ADHD, 인천 , 인천중구 , 여 ,45,196,15057890
2018,ADHD, 인천 , 인천서구 , 남 ,339,2936,193769290
2018,ADHD, 인천 , 인천서구 , 여 ,73,465,30187210
2018,ADHD, 인천 , 인천남동구 , 남 ,511,3647,172493330
2018,ADHD, 인천 , 인천남동구 , 여 ,122,958,52204350
2018,ADHD, 인천 , 인천연수구 , 남 ,510,4386,297712810
2018,ADHD, 인천 , 인천연수구 , 여 ,117,899,59462090
2018,ADHD, 인천 , 인천계양구 , 남 ,329,3190,113397450
2018,ADHD, 인천 , 인천계양구 , 여 ,62,620,24337900
2018,ADHD, 인천 , 인천강화군 , 남 ,0,0,0
2018,ADHD, 인천 , 인천강화군 , 여 ,0,0,0
2018,ADHD, 인천 , 인천옹진군 , 남 ,0,0,0
2018,ADHD, 인천 , 인천옹진군 , 여 ,0,0,0
2018,ADHD, 대구 , 대구남구 , 남 ,340,2310,173514760
2018,ADHD, 대구 , 대구남구 , 여 ,69,402,30061300
2018,ADHD, 대구 , 대구동구 , 남 ,122,1385,94174610
2018,ADHD, 대구 , 대구동구 , 여 ,27,117,8107300
2018,ADHD, 대구 , 대구북구 , 남 ,466,3771,174527700
2018,ADHD, 대구 , 대구북구 , 여 ,76,587,29074990
2018,ADHD, 대구 , 대구서구 , 남 ,52,657,35633270
2018,ADHD, 대구 , 대구서구 , 여 ,0,0,0
2018,ADHD, 대구 , 대구수성구 , 남 ,1032,10260,521009220
2018,ADHD, 대구 , 대구수성구 , 여 ,293,2755,147077730
2018,ADHD, 대구 , 대구중구 , 남 ,475,3741,267683090
2018,ADHD, 대구 , 대구중구 , 여 ,125,870,67784260
2018,ADHD, 대구 , 대구달서구 , 남 ,256,1754,98251110
2018,ADHD, 대구 , 대구달서구 , 여 ,48,325,19211770
2018,ADHD, 대구 , 대구달성군 , 남 ,27,128,8726550
2018,ADHD, 대구 , 대구달성군 , 여 ,11,75,5813720
2018,ADHD, 광주 , 광주동구 , 남 ,204,1678,94632800
2018,ADHD, 광주 , 광주동구 , 여 ,48,311,17160590
2018,ADHD, 광주 , 광주북구 , 남 ,444,4749,235538830
2018,ADHD, 광주 , 광주북구 , 여 ,109,1075,51979300
